wallet_address,total_reward,solved_predictions
0xA54FE4eDa4B288B9dDC40EBA35f3730c7D55f898,8.5900,2
0xc86eec93A27dC60C5AbB044F86d5FB39Eae27727,0.3500,1
0xc05925f41e85816Ff7a720D35197b71cf59D5CD5,0.0200,1
0x60C2780B7412b9b28b724FBcD76a7e723468B664,0.1600,2
0xeD8fa95Bd7708336A5216115A9fB588Ce23B6424,1.4400,3
0x1e3D70175Ab98d4d5Ca172e32073EDe4705d5F73,0.0800,1
0x2005E7D61BD0873fF3aFc1e5C4ED19F482fD4704,1.9800,3
0xFed6BcAf323308af8028e79635823BFcfbdE5897,2.9300,2
0x39AE9E4A4bF391f13d4e7E432B3d3b1266C0273A,0.0200,1
0x60c49C66588266F87eD022f2984bD75fC7492B2C,0.2000,2
0x9e32321F27eE0e2611377011f12A5f904369A042,7.1300,4
0x22727633f0e4B95321c85e7146A9AA4D4e8A2dd5,0.0200,1
0xcfea8162190E4BD9839A3D4B4252017B9B91d368,0.0200,1
0x8136E9d88ed5A2cF67232Afd07da3b88B73A92ec,0.0400,2
0xF4e2E7a35D2d25D39a3Aa1dADD98437a1ba303Ad,0.0400,2
0xf0Be5248975e7cAb9ea7297b15eD1131Dd910F9d,0.0400,2
0x2470481652514c08472e224b4D03b690f302142F,0.0400,2
0xCD0Ba262860513BA6A40c23356dA1187D4fAF6E9,0.0400,2
0xFefe71c63f1FA8921c170e0b81BecBEA3a3d18BD,0.0800,1
0xF03F76D188C4e260ea1B9aFBE94D2ef4D02C9F6D,4.9000,1
0xB1329413c9b4c0cC2CE58BEAe952CCEd7a211448,0.7100,3
0x630D085304B9801252295F326cB20DF64FD47135,1.3200,3
0x233B9a59581FBB52CcEA7617241a4AE619727C86,0.1000,1
0xcE8FA998Cb47B0771d78500d6F65c1DFd2C2F075,5.0600,6
0x41c11f0B1F7899c84545DE5467fF354eBf5Cb1bF,0.2500,1
0xA8132FE90f2Eb52D296fdd35BaC4B122C95eEBc5,0.5100,2
0x5998Ebcbd3355104d066D63B90A867CCE48405B6,1.0500,3
0x54BFf7E0Ba581fF4cbCD07Ad1bea2BFfC8eD0B62,0.9800,1
0x800D11391c7e0C1BC57D93a2Ef8cF750b7564089,0.3200,2
0xA7e07354E6945Ba2a9FCC6bDEEfC0E09A86ac1fa,0.7200,2
0x73f06E202fBf6CE6DF93dc6E595179aE096C918f,5.0100,5
0xf3427c1765a21810Cc8Cbc9511FE25F981B00b89,26.0100,1
0xe54D2843D4689927F9FBE16187CC28aE819542b0,4.8200,4
0xE9BFa0D5E0eE09Fa160280b684eFD00266Bb2f33,0.4200,1
0x707D7C5cD77d88E069418f3c97e9E97023C1c535,0.0800,1
0x04CE4b97Cc0c794677EA6eDbAFfBaCD7a583075e,0.1700,1
0x8f07B5e073Fd6eb355b7820f904A0c96e9AF1604,0.0800,1
0x82F12a058Df555800D85560dd2AA0fb26e8d0123,0.2100,1
0xAb8eFf5bD445a90E2fB87Ab679ACDD5BCBf70931,0.9800,1
0x861e3Aef66B042387F32E7Fe6887f24E3cc0D16b,0.0200,1
0x1275B67437376f3E8203Cd35b50eF5813f0bc77B,5.6100,5
0x2875F6445926315dB912aD131B5F447C7629611f,0.0800,1
0xeB40c0dD1fc6c690630543eD0606E50021F78E17,0.3500,1
0x30874Bf7d7DB94120ee1fE0108E3Ca5555FaFF75,0.0200,1
0xa8a921CEDC12dc15ea34a487B56D6f7f85C3E9d6,0.3500,1
0xc39d3b09Dd1098e5fc7AaBE5978c8A0E3dF2Dd41,0.2600,1
0x7A3A6FE2bDe4ae601804bBF951912E51C82060c4,1.8900,4
0x67bAe3D008d8870F3548A8203884EbfcBE5753ff,1.1100,1
0xd13F886325639372a83ece4936654592d79056f7,0.1700,1
0x0e4c6101bb36a74B28BdB61d82987662Cbf05FDE,4.9000,1
0xD1e7B376d73B399e6F86eD23745f06701DDBF9c9,0.5100,2
0x457926b3190ef73433c69cBcCe5a995f8cAA9147,0.7600,2
0xEE293E4ceb7Aec9f70387e850F5dD2d58764B4C4,3.3700,4
0x0840dcBc3D2b374E0Ac7d47943686353A1c11523,0.0800,1
0xc41f5B5E313874A2D8D35B45413037Ac6EBe4A04,0.1000,1
0x176aE247442791a4D7829Bd45ab32aF6275EC834,0.8000,2
0xB6DcD866d454d9fB909d437E3fC8642194c1122f,0.1000,2
0x07d36239dB847659B2634483e6380Fa99CBeC719,0.0800,1
0xE03faA1B419ad395cAE2A7dFc01b69d7DB9b7ddb,0.2500,1
0x990CD7a968AB043d059615D093b6d0181669CA6B,0.0200,1
0x044895F02BbB0C4dA8a65154e3b62Ecd4a644Dce,0.0200,1
0xbcf0476Cc0961cEdd288661d68306c3c770457EC,8.1200,1
0xA38F4D27aFF6D4433bFBA38DB085404278A55ac8,0.0600,1
0xd45670074D9834140004D2Ee13A0F0Bd94b3ccA3,0.2500,2
0xdCfb5e2aB7d99e5Af67Cd233877faCD3A6fF710e,1.3100,3
0xF2bB28406ed8db7E566b76F35648Aa4830f132Cc,2.3800,4
0x0FEbC5A457F29C753B7D9BbC12e8e9f7D26b024b,0.0900,1
0x313EE87AC0c47900e26671b9E0e9424c934D2173,1.8400,4
0x2352936638f06533fDcf56Bf399F7E75d1581ae7,1.2800,1
0x936e804BA9F842e00427a74A25f0853C69B39b99,2.5600,2
0x8AE4c29C97A9DFbA7a4440c6336a7D37EbA0e12c,39.2500,1
0x37b3cE4eE95758e41B0E73EA3088eA9c3FdaCd32,1.0800,2
0xF51e815A8d7F93D5b3420279993F53538fdcEbC2,0.3500,1
0xD4E88f6E281cbDF7e4539E88FC5fa9f84b672E71,0.6800,2
0xfeFB79302f175dD06bcFc5D8758c5E6820A15Ea0,0.5100,2
0xacd7764F2883E7e84f41a2C07efF0d548D0e45E6,0.7200,2
